İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,goalsPrevented,kilometersCovered,numberOfSprints,topSpeed
"Alessandro Schöpf","147776","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.8947368421053","131","19","4","5","4","5","1.33571772","9","743","141","884","84.049773755656","305","438","254","22","19","45.238095238095","30","24","2","0","0","1","7.6923076923077","24","8","9","75","47.169811320755","6","31.578947368421","81","45.505617977528","1454","16.666666666667","0","0","0","0","0","0","3","1","14","10","0","3","1","34","65.384615384615","13","0","0","28","242","7","57","30","1192","26","18","1","0","16","2","7","0","0","1","0","0","0","0","20","3","0","0","0","0","0","17","0","0","22","42","13","97","13","0","0","0","52","23","22","73.333333333333","363.5","0","0","0","345","539","1","3.0341","0","102","4","2092939","19","0","0","0","0"
"Alessandro Schöpf","147776","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","7.0875","56.7","8","2","0","1","0","0","2","205","41","246","83.333333333333","86","120","68","7","7","58.333333333333","17","5","3","0","0","1","25","11","5","3","35","54.6875","6","54.545454545455","41","54.666666666667","450","18.181818181818","1","1","0","0","1","0","1","1","6","5","0","0","2","5","50","5","0","0","15","86","3","10","6","378","11","5","0","0","5","0","3","0","0","1","0","0","0","0","5","1","0","0","0","0","0","4","100","0","7","12","4","34","5","0","0","0","10","6","10","58.823529411765","225","0","0","0","97","153","0","0","0","50","0","1828042","8","0","0","0","0"
"Alessandro Schöpf","147776","Canadian Championship 2024","Canadian Championship","Vancouver Whitecaps","7.125","28.5","4","0","0","0","0","0","0","135","16","151","89.403973509934","47","88","38","2","1","25","3","2","0","0","0","0","0","7","5","1","8","57.142857142857","2","100","10","62.5","198","0","0","0","0","0","0","0","0","0","1","6","0","0","0","9","81.818181818182","0","0","0","2","25","4","8","5","188","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","4","2","6","0","0","0","0","11","0","3","100","0","0","0","0","51","102","0","0","0","10","0","1776349","4","0","0","0","0"
"Alessandro Schöpf","147776","MLS 2024","MLS","Vancouver Whitecaps","6.8205882352941","231.9","34","1","2","0","1","2.62850159","2","963","99","1062","90.677966101695","404","568","276","22","18","52.941176470588","25","19","4","0","1","9","36","35","10","15","55","38.732394366197","13","61.904761904762","68","41.717791411043","2043","2.8571428571429","0","0","1","0","0","0","0","1","13","22","0","0","1","51","79.6875","21","0","0","28","201","17","62","41","1386","13","26","1","0","18","0","10","2","0","2","0","0","0","0","26","3","0","0","0","0","0","23","0","0","20","34","25","95","8","0","0","0","64","29","18","72","2043","1","0","0","430","657","0","2.0793","0","135","0","1315185","34","0","0","0","0"
"Emmanuel Agyemang","1894380","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.5352941176471","111.1","17","0","0","0","0","0.23067016","0","190","41","231","82.251082251082","69","121","61","2","3","30","11","6","1","0","0","2","11.764705882353","8","1","4","20","43.478260869565","2","20","22","39.285714285714","576","0","0","0","0","0","0","0","0","0","1","7","0","0","0","13","52","11","0","0","9","82","1","13","5","345","6","4","0","0","6","2","3","0","0","0","0","0","0","0","7","3","0","0","0","0","0","4","0","0","2","10","17","34","8","0","0","0","25","10","5","45.454545454545","0","0","0","0","75","156","0","0.4262","0","30","0","2092951","18","0","0","0","0"
"Emmanuel Agyemang","1894380","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.925","166.2","24","2","4","0","5","0","7","243","86","329","73.860182370821","87","159","100","9","8","57.142857142857","23","13","0","0","0","3","37.5","16","4","8","44","59.459459459459","8","29.62962962963","52","51.485148514851","919","12.5","0","0","0","0","0","0","2","0","5","11","0","2","0","14","45.161290322581","10","0","0","10","128","5","25","12","492","13","9","0","0","5","1","4","1","0","0","0","0","0","0","8","1","0","0","0","0","0","9","0","0","8","14","8","49","19","0","0","0","31","9","15","65.217391304348","459.5","0","0","0","100","237","2","0","0","41","0","1482944","24","0","0","0","0"
"Raymond Tochukwu","1610420","African Nations Championship 2025","African Nations Championship","Nigeria","7.2333333333333","21.7","3","0","0","0","0","0","0","144","32","176","81.818181818182","67","80","32","3","1","100","3","1","2","0","0","3","27.272727272727","3","0","3","11","55","10","58.823529411765","21","56.756756756757","270","0","0","0","0","0","1","0","0","0","0","3","0","0","0","13","59.090909090909","6","0","0","3","44","0","18","11","222","7","5","1","0","3","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","3","0","0","3","1","11","16","7","0","0","0","22","5","2","66.666666666667","0","0","0","0","79","108","0","0","0","19","0","2102626","3","0","0","0","0"
"René Renner","244141","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.8347826086957","157.2","23","2","0","0","0","1.28229097","2","631","203","834","75.659472422062","289","342","183","18","19","57.575757575758","58","27","7","1","1","8","21.621621621622","27","6","12","94","58.385093167702","22","53.658536585366","116","57.425742574257","2056","7.4074074074074","0","0","0","1","1","0","2","0","11","16","0","2","0","30","38.461538461538","68","0","0","8","353","6","53","21","1393","17","23","1","0","23","0","9","0","0","3","0","0","0","0","27","6","0","0","0","0","0","23","0","0","18","33","37","86","19","0","0","0","78","33","37","63.793103448276","1028","0","0","0","360","474","1","1.0378","0","98","4","2092923","23","0","0","0","0"
"René Renner","244141","Bundesliga 24/25","Austrian Bundesliga","LASK","6.2","12.4","2","0","0","0","0","0","0","13","8","21","61.904761904762","7","6","3","0","0","0","1","2","0","0","0","0","0","1","0","1","3","60","2","66.666666666667","5","62.5","65","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","1","10","0","0","0","41","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","1","0","0","0","1","0","3","1","0","0","0","3","4","0","0","0","0","0","0","12","9","0","0","0","2","0","1546828","2","0","0","0","0"
"René Renner","244141","Bundesliga 23/24","Austrian Bundesliga","LASK","7.1375","57.1","8","0","0","0","0","0","0","278","114","392","70.918367346939","109","173","97","4","13","56.521739130435","16","12","2","0","0","4","21.052631578947","6","0","3","46","57.5","10","45.454545454545","56","54.901960784314","709","0","0","0","1","0","0","0","0","0","1","5","0","0","0","25","47.169811320755","15","0","0","12","195","5","39","19","679","17","4","0","0","8","1","3","0","0","5","0","0","0","0","3","1","0","0","0","0","0","8","0","0","4","23","19","46","12","0","0","0","53","4","11","68.75","0","0","0","0","142","269","1","0","0","55","0","1051245","8","0","0","0","0"
"René Renner","244141","UEFA Europa League 23/24","UEFA Europa League","LASK","6.7666666666667","20.3","3","0","1","0","0","0.1219351","0","23","18","41","56.09756097561","14","10","6","2","2","66.666666666667","7","1","0","0","0","1","33.333333333333","0","0","0","13","65","1","20","14","56","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","33","2","4","0","101","4","1","0","0","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","2","3","3","11","4","0","0","0","6","4","5","71.428571428571","0","0","0","0","26","18","0","0","0","11","0","1170677","3","0","0","0","0"
"Marco Sulzner","1031171","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.6368421052632","126.1","19","1","3","0","2","0.93301603","3","352","118","470","74.893617021277","146","206","109","9","16","66.666666666667","20","7","3","1","1","4","26.666666666667","19","5","6","62","55.357142857143","18","51.428571428571","80","54.421768707483","1214","5.2631578947368","0","0","0","0","0","0","0","1","5","14","0","0","1","37","50","22","0","3","10","174","3","63","30","691","28","21","0","0","12","2","8","0","0","1","0","0","0","0","17","3","0","0","0","0","0","14","0","0","9","24","15","67","17","0","0","0","74","20","8","40","1214","0","0","0","170","300","2","0.8862","0","66","2","2092915","19","0","0","0","0"
"Marco Sulzner","1031171","Bundesliga 24/25","Austrian Bundesliga","LASK","6.85","27.4","4","0","0","0","0","0","0","131","28","159","82.389937106918","102","29","11","0","0","0","4","2","1","0","0","0","0","0","0","0","8","61.538461538462","3","42.857142857143","11","55","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","43.478260869565","17","0","0","1","33","0","10","6","196","4","3","0","0","1","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","1","9","4","0","0","0","23","3","4","100","0","0","0","0","107","53","0","0","0","7","0","1597721","7","0","0","0","0"
"Simon Piesinger","141205","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.59","131.8","20","1","1","5","0","0.82973648","1","330","133","463","71.274298056156","144","186","87","5","4","50","14","16","4","0","0","0","0","14","1","10","27","38.571428571429","27","64.285714285714","54","48.214285714286","1129","7.1428571428571","0","0","0","0","0","0","1","0","10","4","1","0","0","23","50","24","0","0","7","163","2","37","17","632","9","20","2","0","12","0","3","0","0","0","0","0","0","0","14","5","0","0","0","0","0","14","0","0","5","8","2","58","15","0","0","0","46","19","7","50","1129","0","0","0","183","280","0","1.6076","0","61","8","2092955","20","0","0","0","0"
"Simon Piesinger","141205","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.93","207.9","30","2","3","1","2","0","4","710","311","1021","69.539666993144","302","408","189","22","6","60","67","36","5","0","0","0","0","19","6","10","81","49.390243902439","59","63.440860215054","140","54.474708171206","2425","10.526315789474","0","0","0","1","0","0","1","1","12","7","1","0","1","50","43.859649122807","36","0","0","14","363","6","105","46","1364","9","36","1","0","31","1","3","1","0","5","0","0","0","0","27","3","0","0","0","0","0","29","0","0","21","10","8","117","34","0","0","0","114","30","35","52.238805970149","1212.5","0","0","0","378","651","1","0","0","136","0","1482992","30","0","0","0","0"
"Simon Piesinger","141205","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","6.8818181818182","151.4","22","2","0","2","2","0","4","590","190","780","75.641025641026","424","166","40","8","1","50","15","20","1","0","0","0","0","7","3","1","24","51.063829787234","43","48.863636363636","67","49.62962962963","1487","28.571428571429","0","0","0","0","1","0","2","0","6","1","2","0","0","59","37.579617834395","72","0","0","3","205","1","99","37","978","9","12","0","0","9","2","3","0","0","5","0","0","0","0","12","6","0","0","0","0","0","15","0","0","8","2","1","68","45","0","0","0","157","18","11","73.333333333333","743.5","0","0","0","487","294","2","0","2","98","0","1052246","23","0","0","0","0"
"Florent Hajdini","1401056","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.6","6.6","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2119006","1","0","0","0","0"
"Adama Drame","1655334","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.65","13.3","2","0","0","0","0","0.00698505","0","18","7","25","72","8","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","33.333333333333","1","100","2","50","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16.666666666667","4","0","0","0","9","0","3","0","35","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","6","1","0","0","0","0","0","0","8","17","0","0","0","2","0","2145195","2","0","0","0","0"
"Cheick Mamadou Diabate","1801585","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.75625","108.1","16","0","0","0","0","0.13129284","0","618","57","675","91.555555555556","487","131","28","0","5","50","40","15","5","2","2","0","0","2","0","1","48","57.831325301205","12","37.5","60","52.173913043478","1074","0","0","0","0","1","0","0","0","0","1","1","0","0","0","33","56.896551724138","62","0","0","5","79","0","18","10","866","3","20","0","0","6","0","1","0","0","2","0","0","0","0","10","4","0","0","0","0","0","12","0","0","0","10","1","55","20","0","0","0","58","14","22","55","0","0","0","0","508","167","0","0.0327","6","71","8","2092911","16","0","0","0","0"
"Cheick Mamadou Diabate","1801585","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.7789473684211","128.8","19","0","1","1","1","0","1","431","61","492","87.60162601626","296","135","36","4","3","75","23","19","2","0","0","0","0","4","0","4","28","53.846153846154","17","48.571428571429","45","51.724137931034","1011","0","0","0","0","1","0","0","0","0","4","0","0","0","0","33","53.225806451613","51","0","0","2","84","1","17","10","679","2","11","1","0","10","0","0","0","0","3","0","0","0","0","9","4","0","0","0","0","0","9","0","0","4","4","0","42","18","0","0","0","62","13","20","86.95652173913","0","0","0","0","321","171","2","0","4","56","0","1497885","22","0","0","0","0"
"Cheick Mamadou Diabate","1801585","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","6.8090909090909","74.9","11","0","0","0","0","0","0","274","81","355","77.183098591549","197","77","19","1","2","66.666666666667","14","14","2","0","0","0","0","3","0","2","17","54.838709677419","27","58.695652173913","44","57.142857142857","682","0","0","0","0","0","0","0","0","0","3","0","0","0","0","18","33.962264150943","48","1","0","0","88","0","18","6","475","1","8","0","0","5","2","1","0","0","2","0","0","0","0","6","0","0","0","0","0","0","9","0","0","1","3","0","33","19","0","0","0","53","6","8","57.142857142857","0","0","0","0","225","130","0","0","0","37","0","1316261","12","0","0","0","0"
"Dominik Baumgartner","282087","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","7.1210526315789","135.3","19","1","3","1","1","1.20842423","2","892","167","1059","84.230406043437","466","426","185","10","3","37.5","47","30","3","0","1","3","30","10","2","7","69","58.474576271186","61","66.304347826087","130","61.904761904762","1670","10","0","0","0","2","0","0","1","0","9","1","1","0","0","60","44.776119402985","101","0","1","5","205","3","98","41","1400","19","22","0","0","19","1","1","0","0","4","0","0","0","0","21","5","0","0","0","0","0","19","0","0","10","8","10","80","31","0","0","0","134","26","31","65.957446808511","1670","1","0","0","504","555","4","0.9599","2","73","15","2092917","19","0","0","0","0"
"Dominik Baumgartner","282087","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","7.2035714285714","201.7","28","2","2","4","1","0","3","914","243","1157","78.997407087295","526","391","156","8","8","80","75","28","8","0","0","3","17.647058823529","28","8","13","110","62.857142857143","82","68.333333333333","192","65.084745762712","2408","7.1428571428571","0","0","0","1","0","0","2","0","26","2","1","0","1","79","40.721649484536","158","0","0","11","295","4","109","52","1669","28","30","0","0","24","0","7","0","0","8","0","0","0","0","29","1","0","0","0","0","0","28","0","0","8","10","17","103","38","0","0","0","194","30","47","62.666666666667","1204","0","0","0","596","578","3","0","5","122","0","1482974","28","0","0","0","0"
"Dominik Baumgartner","282087","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","7.17","215.1","30","0","4","1","3","0","3","1136","331","1467","77.436946148603","696","441","142","14","11","55","65","45","6","0","0","1","20","16","7","7","111","60.655737704918","149","63.404255319149","260","62.200956937799","2684","0","0","0","1","1","0","0","0","0","16","0","0","0","0","90","40.723981900452","126","1","2","6","385","6","117","53","1944","35","34","1","0","27","1","2","0","0","9","0","0","0","0","28","9","0","0","0","0","0","30","0","0","14","20","5","158","86","0","0","0","221","37","43","66.153846153846","0","0","0","0","819","653","7","0","0","185","0","1052259","30","0","0","0","0"
"Chukwu Emmanuel","1893024","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.5875","52.7","8","1","0","0","0","0.06027098","1","51","17","68","75","26","25","11","0","1","50","6","2","0","0","0","1","25","4","1","1","8","47.058823529412","5","50","13","48.148148148148","176","25","0","0","0","1","0","0","1","0","3","1","1","0","0","3","42.857142857143","6","0","0","2","31","0","6","4","118","1","3","0","0","3","0","2","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","2","4","14","5","0","0","0","7","4","3","50","176","0","0","0","32","36","0","0.3075","0","9","2","2261479","9","0","0","0","0"
"Austin Harrison Uzondu","1928493","African Nations Championship 2025","African Nations Championship","Nigeria","6.3","6.3","1","0","0","0","0","0","0","6","8","14","42.857142857143","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14.285714285714","0","0","0","0","9","0","4","1","22","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","7","1","0","0","0","0","0","0","6","9","0","0","0","2","0","2102598","1","0","0","0","0"
"Nicolas Wimmer","843630","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","7.0083333333333","168.2","24","1","3","0","0","1.46061806","1","998","266","1264","78.955696202532","582","416","165","10","13","86.666666666667","40","25","3","0","0","6","28.571428571429","9","4","2","89","65.441176470588","70","61.946902654867","159","63.855421686747","2070","11.111111111111","0","0","0","1","0","0","1","0","5","4","1","0","0","108","41.698841698842","128","0","0","8","316","1","161","79","1656","36","14","0","0","24","2","3","0","0","3","0","0","0","0","29","7","0","0","0","0","0","23","0","0","10","15","21","90","43","0","0","0","259","36","18","45","2070","0","0","0","652","612","3","0.4547","31","104","24","2092929","24","0","0","0","0"
"Nicolas Wimmer","843630","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","7.0961538461538","184.5","26","0","3","0","1","0","1","917","327","1244","73.713826366559","550","372","131","12","7","58.333333333333","53","45","2","1","1","5","27.777777777778","11","2","4","88","66.666666666667","93","65.034965034965","181","65.818181818182","2297","0","0","0","0","1","0","0","0","0","6","5","0","0","0","114","40","143","0","0","8","423","3","163","74","1787","32","11","0","0","23","0","5","0","0","7","0","0","0","0","27","2","0","0","0","0","0","26","0","0","12","12","18","94","50","0","0","0","285","29","36","67.924528301887","0","0","0","0","630","632","2","0","9","133","0","1482985","27","0","0","0","0"
"Nicolas Wimmer","843630","Bundesliga 23/24","Austrian Bundesliga","Austria Klagenfurt","7.0774193548387","219.4","31","1","1","1","1","0","2","1119","451","1570","71.273885350318","647","474","167","12","7","58.333333333333","42","53","1","0","0","2","25","24","6","11","81","60","145","61.181434599156","226","60.752688172043","2790","4.1666666666667","0","0","0","0","1","0","1","0","22","2","1","0","0","128","35.359116022099","232","0","0","7","497","0","209","86","2122","32","12","1","0","32","0","7","0","0","8","0","0","0","0","48","1","0","0","0","0","0","31","0","0","12","12","8","146","92","0","0","0","362","49","26","61.904761904762","2790","0","0","0","759","819","4","0","0","196","0","1052339","31","0","0","0","0"
"Fabian Wohlmuth","989751","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.6294117647059","112.7","17","0","1","0","0","0.56784947","0","452","107","559","80.858676207513","234","218","120","5","6","66.666666666667","16","7","3","0","0","6","16.216216216216","9","3","4","37","57.8125","18","42.857142857143","55","51.88679245283","1194","0","0","0","0","0","0","0","0","0","4","5","0","0","0","48","57.831325301205","37","0","0","5","176","4","43","21","874","16","8","0","0","12","0","2","0","0","2","0","0","0","0","19","3","0","0","0","0","0","12","0","0","5","9","37","51","24","0","0","0","83","22","10","62.5","0","0","0","0","268","291","0","0.4761","0","50","7","2119034","18","0","0","0","0"
"Tobias Gruber","1513824","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.475","25.9","4","0","0","0","0","0.04676758","0","72","14","86","83.720930232558","50","22","9","0","0","0","2","4","2","0","0","1","100","1","0","1","2","22.222222222222","7","63.636363636364","9","45","137","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8","57.142857142857","6","0","0","0","17","0","4","3","107","0","3","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","1","1","11","4","0","0","0","14","3","2","100","0","0","0","0","55","31","0","0.0702","0","4","0","2145200","4","0","0","0","0"
"Tobias Gruber","1513824","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.9333333333333","20.8","3","0","0","0","0","0","0","82","38","120","68.333333333333","66","16","6","0","2","100","10","6","0","0","0","0","0","0","0","0","12","85.714285714286","10","71.428571428571","22","78.571428571429","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","29.62962962963","17","0","1","0","39","0","10","4","168","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","2","0","6","4","0","0","0","27","2","5","50","0","0","0","0","83","37","0","0","0","9","0","1877786","4","0","0","0","0"
"Tobias Gruber","1513824","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","6.8","6.8","1","0","0","0","0","0","0","7","1","8","87.5","4","3","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","0","0","0","0","1","0","1","0","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","5","3","0","0","0","1","0","1242098","2","0","0","0","0"
"Nikolas Polster","962268","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","7.0608695652174","162.4","23","0","0","0","0","0.09899818","0","742","253","995","74.572864321608","635","107","45","1","1","100","0","1","2","0","0","0","0","0","0","0","8","100","10","90.909090909091","18","94.736842105263","2070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","191","43.70709382151","23","0","3","0","258","0","75","42","1227","9","0","0","0","0","0","0","0","66","4","8","2","45","21","29","7","14","14","14","20","1","23","0","0","1","1","0","1","1","0","0","0","437","36","0","0","0","0","0","9","677","318","2","0","137","245","0","2092949","23","0.1944","0","0","0"
"Nikolas Polster","962268","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.98","209.4","30","0","0","0","0","0","0","648","376","1024","63.28125","517","131","34","0","0","0","2","1","1","0","0","0","0","0","0","0","4","80","9","90","13","86.666666666667","2700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","34.843205574913","22","0","0","0","380","0","87","52","1288","2","0","0","0","1","0","0","0","67","9","5","0","44","23","30","4","5","12","12","36","0","30","0","0","0","0","0","2","1","0","0","0","574","34","0","0","0","0","0","12","551","473","1","0","198","283","0","1516038","30","0","0","0","0"
"Lukas Gütlbauer","942888","Bundesliga 25/26","Austrian Bundesliga","Wolfsberger AC","6.6","13.2","2","0","0","0","0","0.00431931","0","36","21","57","63.157894736842","26","10","5","0","0","0","1","0","0","0","0","0","0","0","0","0","2","100","0","0","2","100","180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","36.363636363636","3","0","0","0","22","0","1","1","79","1","1","0","0","0","0","0","0","4","0","0","0","0","4","2","0","1","2","2","1","0","2","0","0","0","0","0","0","0","0","0","0","33","2","0","0","0","0","0","0","28","29","0","0","13","22","0","2196892","2","-0.4072","0","0","0"
"Lukas Gütlbauer","942888","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","7","14","2","0","0","0","0","0","0","26","22","48","54.166666666667","16","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","100","3","100","180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","35.294117647059","7","0","0","0","22","0","2","1","65","0","0","0","0","0","0","0","0","5","0","0","0","5","0","4","0","3","4","4","1","0","2","0","0","0","0","0","0","0","0","0","0","34","4","0","0","0","0","0","3","17","31","0","0","9","9","0","1482970","2","0","0","0","0"
"Lukas Gütlbauer","942888","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","7.375","59","8","0","0","0","0","0","0","119","123","242","49.173553719008","89","30","8","0","1","100","0","1","1","0","0","0","0","0","0","0","3","75","5","83.333333333333","8","80","720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","25.465838509317","13","1","0","0","127","0","11","7","327","2","0","0","0","1","0","0","0","33","3","0","0","21","12","6","0","7","10","10","6","0","8","0","0","0","1","0","2","1","0","0","0","161","6","0","0","0","0","1","8","108","134","2","0","79","70","0","1322932","8","0","0","0","0"
"Ramiz Harakate","1397899","Bundesliga 25/26","Austrian Bundesliga","Grazer AK 1902","6.8869565217391","158.4","23","10","5","10","4","2.34707998","14","276","100","376","73.404255319149","107","169","100","24","34","43.037974683544","14","5","6","0","0","16","25.806451612903","55","18","25","87","40.092165898618","11","19.642857142857","98","35.897435897436","1817","18.181818181818","1","1","2","0","0","0","8","2","34","21","0","10","0","10","34.48275862069","4","0","0","41","317","8","27","9","831","39","38","0","0","9","16","12","0","0","2","0","0","0","0","19","5","0","0","0","0","0","21","100","0","24","79","62","175","45","0","0","0","29","24","10","71.428571428571","181.7","0","0","0","125","251","3","7.9962","0","68","1","2098089","23","0","0","0","0"
"Mark Große","842680","Bundesliga 25/26","Austrian Bundesliga","Grazer AK 1902","6.8684210526316","130.5","19","3","2","0","2","2.17789677","5","212","80","292","72.602739726027","66","146","89","19","15","57.692307692308","11","1","2","1","1","16","26.666666666667","29","8","13","35","47.297297297297","11","64.705882352941","46","50.549450549451","990","10.344827586207","2","2","0","0","5","0","3","0","12","17","0","2","1","14","42.424242424242","11","0","0","13","176","3","36","16","514","10","9","0","0","7","3","8","1","0","1","0","0","0","0","12","2","0","0","0","0","0","10","100","0","18","26","60","45","6","0","0","0","33","14","4","36.363636363636","330","0","0","0","82","210","2","3.0996","0","32","1","2093624","19","0","0","0","0"
"Daniel Maderner","336257","Bundesliga 25/26","Austrian Bundesliga","Grazer AK 1902","6.5173913043478","149.9","23","6","4","4","2","0.57922994","8","96","85","181","53.038674033149","21","75","51","13","3","23.076923076923","9","4","5","0","0","4","26.666666666667","28","11","12","27","25.233644859813","36","41.379310344828","63","32.474226804124","1297","21.428571428571","3","2","0","0","0","0","6","0","27","1","1","1","4","8","42.105263157895","22","0","0","17","185","3","16","6","416","15","51","0","0","4","6","5","0","0","1","0","0","0","0","14","1","0","0","0","0","0","14","66.666666666667","0","13","13","15","131","51","0","0","1","19","15","6","66.666666666667","216.16666666667","0","0","0","29","152","1","5.8012","0","32","1","2098097","23","0","0","0","0"
