İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,kilometersCovered,numberOfSprints,topSpeed,goalsPrevented,substitutionsIn,substitutionsOut
"Amir Richardson","1121333","Serie A 25/26","Serie A","Fiorentina","6.55","13.1","2","0","0","0","0","0.01428158","0","20","9","29","68.965517241379","6","14","6","0","1","25","1","0","0","0","0","0","0","1","0","1","5","50","1","50","6","50","40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","100","2","0","0","1","16","0","3","3","48","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","1","6","1","0","0","0","1","1","1","100","0","0","0","0","7","22","0","0.0197","0","0","0","2481466","2","0","0","0","0","0","0"
"Amir Richardson","1121333","Serie A 24/25","Serie A","Fiorentina","6.7222222222222","181.5","27","1","1","1","1","0.65173471","2","535","72","607","88.138385502471","227","310","142","8","11","64.705882352941","30","6","6","0","0","2","40","11","5","3","60","50.420168067227","19","54.285714285714","79","51.298701298701","1078","9.0909090909091","0","0","0","0","0","0","1","0","5","6","0","1","0","14","45.161290322581","28","0","1","10","112","7","26","13","792","19","31","0","0","12","1","3","0","0","0","0","0","0","0","13","0","0","0","0","0","0","10","0","0","8","17","5","75","16","0","0","0","31","13","13","43.333333333333","1078","0","0","0","249","363","0","0.8626","0","51","0","1533493","27","0","0","0","0","0","0"
"Amir Richardson","1121333","Ligue 1 23/24","Ligue 1","Stade de Reims","6.8178571428571","190.9","28","3","2","1","1","1.38361667","4","527","104","631","83.51822503962","218","311","146","12","8","30.769230769231","33","15","4","0","0","2","15.384615384615","17","8","9","63","44.366197183099","17","60.714285714286","80","47.058823529412","1349","17.647058823529","0","0","0","0","0","0","3","0","8","9","0","3","0","30","57.692307692308","29","0","0","21","181","8","36","17","902","22","30","0","0","12","0","0","0","0","1","0","0","0","0","18","5","0","0","0","0","0","14","0","0","12","26","13","90","11","0","0","0","52","23","23","69.69696969697","449.66666666667","0","0","0","251","393","0","1.6281","0","86","0","1072551","28","0","0","0","0","0","0"
"Elias Achouri","945204","Superliga 25/26","Danish Superliga","FC København","6.83125","109.3","16","3","1","1","1","2.2581507","4","301","68","369","81.571815718157","74","227","141","19","15","36.585365853659","15","2","1","0","0","12","36.363636363636","26","8","10","53","43.801652892562","7","33.333333333333","60","42.253521126761","1046","11.538461538462","0","0","0","0","0","0","3","0","16","10","1","0","2","11","61.111111111111","5","1","0","18","167","10","18","7","601","23","11","2","0","14","6","8","0","0","1","0","0","0","0","13","2","0","0","0","0","0","12","0","0","19","41","33","82","14","0","0","0","18","15","11","73.333333333333","348.66666666667","0","0","0","89","280","0","3.3279","0","59","0","2062670","16","0","0","0","0","0","0"
"Elias Achouri","945204","Superliga 24/25","Danish Superliga","FC København","7.0217391304348","161.5","23","2","11","1","5","0","7","437","86","523","83.556405353728","87","369","235","38","28","38.356164383562","31","4","5","0","0","19","33.928571428571","33","13","11","82","37.442922374429","10","35.714285714286","92","37.246963562753","1484","6.0606060606061","0","0","0","0","1","0","1","1","19","14","0","0","2","16","66.666666666667","5","0","0","45","265","15","17","12","904","23","21","1","0","28","8","9","1","0","1","0","0","0","0","16","1","0","0","0","0","0","15","0","0","37","73","56","155","18","0","0","0","24","17","20","64.516129032258","742","0","0","0","109","470","3","0","0","73","0","1484596","23","0","0","0","0","0","0"
"Elias Achouri","945204","Superliga 23/24","Danish Superliga","FC København","7.1896551724138","208.5","29","4","17","10","14","0","18","655","148","803","81.569115815691","105","568","365","48","48","48.979591836735","21","7","7","0","0","18","21.951219512195","36","19","11","111","44.223107569721","29","42.028985507246","140","43.75","2185","11.111111111111","0","0","0","0","0","0","3","1","25","11","0","0","4","21","75","6","0","0","50","411","31","27","16","1342","42","22","3","0","18","10","6","0","0","2","0","0","0","0","26","4","0","0","0","0","0","26","0","0","48","98","82","180","40","0","0","0","28","30","14","66.666666666667","546.25","0","0","0","126","759","3","0","0","111","0","1052174","29","0","0","0","0","0","0"
"Elias Achouri","945204","UEFA Champions League 25/26","UEFA Champions League","FC København","6.5428571428571","45.8","7","1","1","0","1","0.48230432","2","91","33","124","73.387096774194","41","50","24","4","3","27.272727272727","7","2","1","0","0","2","18.181818181818","5","1","1","18","40.909090909091","2","28.571428571429","20","39.21568627451","430","20","0","0","0","0","1","0","1","0","3","2","0","0","1","6","50","3","0","0","7","68","2","5","3","206","8","7","0","0","5","2","3","0","0","0","0","0","0","0","9","4","0","0","0","0","0","5","0","0","4","11","11","31","5","0","0","0","12","13","2","28.571428571429","430","0","0","0","50","74","0","0.2425","0","27","1","2283324","7","52.8341","67","32.184","0","0","0"
"Elias Achouri","945204","UEFA Champions League 23/24","UEFA Champions League","FC København","6.7","53.6","8","0","1","0","1","1.56169728","1","123","43","166","74.096385542169","39","86","60","5","17","38.636363636364","16","2","0","0","0","2","16.666666666667","10","2","3","37","40.659340659341","9","60","46","43.396226415094","557","0","0","0","0","0","0","0","0","0","7","3","0","0","0","0","0","2","0","1","17","118","5","8","3","315","4","5","0","0","6","4","5","0","0","0","0","0","0","0","8","1","0","0","0","0","0","7","0","0","5","44","12","60","6","0","0","0","9","9","11","68.75","0","0","0","0","49","129","0","0.3012","0","37","0","1100556","8","0","0","0","0","0","0"
"Mohamed Elyounoussi","119151","Superliga 25/26","Danish Superliga","FC København","7.2304347826087","166.3","23","6","6","5","7","5.25905307","13","577","176","753","76.626826029216","170","407","238","40","18","41.860465116279","39","6","5","0","0","16","24.242424242424","59","19","20","93","48.4375","32","54.237288135593","125","49.800796812749","1789","10.169491525424","0","0","1","0","5","0","6","0","36","23","3","0","3","43","64.179104477612","9","0","0","29","333","12","66","39","1176","36","30","1","0","17","3","20","1","0","2","0","0","0","0","25","3","0","0","0","0","0","19","0","0","39","43","66","126","27","0","0","0","67","28","25","64.102564102564","298.16666666667","0","0","0","197","556","7","6.0733","0","88","1","2062652","23","0","0","0","0","0","0"
"Mohamed Elyounoussi","119151","Superliga 24/25","Danish Superliga","FC København","7.4259259259259","200.5","27","8","9","9","7","0","15","524","177","701","74.750356633381","152","403","239","53","25","44.642857142857","24","18","1","0","0","31","30.693069306931","84","28","31","81","45.251396648045","25","45.454545454545","106","45.299145299145","2005","9.5238095238095","1","0","1","0","2","0","6","2","56","28","1","4","3","20","55.555555555556","21","0","0","31","358","16","50","22","1201","32","22","7","0","17","6","25","0","0","4","0","0","0","0","20","1","0","0","0","0","0","21","0","0","53","56","101","128","30","0","0","1","36","21","13","54.166666666667","250.625","0","0","0","182","620","7","0","0","94","0","1462756","27","0","0","0","0","0","0"
"Mohamed Elyounoussi","119151","Superliga 23/24","Danish Superliga","FC København","7.3666666666667","221","30","10","8","6","5","0","15","616","178","794","77.581863979849","180","442","258","27","22","37.28813559322","35","16","2","0","0","6","17.142857142857","75","35","23","85","43.814432989691","32","47.058823529412","117","44.656488549618","2234","13.333333333333","0","0","1","0","0","0","8","2","64","11","1","4","5","21","63.636363636364","17","0","0","26","330","23","40","22","1260","28","22","3","0","24","3","17","0","0","4","0","0","0","0","28","4","0","0","0","0","0","25","0","0","27","59","35","145","36","0","0","0","33","32","24","68.571428571429","223.4","0","0","0","206","623","5","0","0","96","0","1057894","30","0","0","0","0","0","0"
"Mohamed Elyounoussi","119151","UEFA Champions League 25/26","UEFA Champions League","FC København","6.8714285714286","48.1","7","1","1","1","1","0.6992901","2","141","48","189","74.603174603175","60","81","39","7","4","40","11","2","1","0","0","5","23.809523809524","9","3","3","26","45.614035087719","13","61.904761904762","39","50","531","11.111111111111","0","0","1","0","1","0","1","0","3","6","0","0","1","8","72.727272727273","6","0","0","12","94","1","10","5","302","11","7","1","0","6","0","3","0","0","0","0","0","0","0","13","3","0","0","0","0","0","6","0","0","7","10","21","39","8","0","0","0","11","16","6","54.545454545455","531","0","0","0","72","117","0","1.1298","0","26","1","2283299","7","69.34568","45","30.744","0","0","0"
"Mohamed Elyounoussi","119151","UEFA Champions League 23/24","UEFA Champions League","FC København","7.2375","57.9","8","3","2","2","0","0.9457879","3","128","45","173","73.988439306358","47","85","45","9","10","55.555555555556","20","11","0","0","0","4","36.363636363636","17","8","6","36","53.731343283582","7","41.176470588235","43","51.190476190476","686","17.647058823529","0","0","1","0","0","0","3","0","14","3","0","2","1","1","11.111111111111","5","0","1","6","88","9","8","1","325","6","6","0","0","11","1","3","0","0","1","0","0","0","0","12","1","0","0","0","0","0","8","0","0","9","18","11","41","10","0","0","0","9","13","9","45","228.66666666667","0","0","0","59","125","0","2.1019","0","45","0","1091750","8","0","0","0","0","0","0"
"Jordan Larsson","578380","Superliga 25/26","Danish Superliga","FC København","7.08","177","25","8","8","7","5","5.361356","13","479","101","580","82.586206896552","91","388","260","40","19","47.5","11","12","0","0","0","23","33.333333333333","52","19","15","54","46.95652173913","8","29.62962962963","62","43.661971830986","1756","15.384615384615","2","2","1","0","1","0","7","1","37","15","1","6","1","15","62.5","12","0","0","19","227","8","35","22","927","24","12","1","0","11","1","18","0","0","3","0","0","0","0","27","1","0","0","0","0","0","21","100","0","40","40","69","80","19","0","0","0","24","28","9","81.818181818182","219.5","0","0","0","107","473","5","6.9477","0","66","2","2062694","25","0","0","0","0","0","0"
"Jordan Larsson","578380","Superliga 24/25","Danish Superliga","FC København","7.2210526315789","137.2","19","8","5","2","2","0","10","276","70","346","79.768786127168","48","232","162","24","15","55.555555555556","15","9","4","0","0","4","22.222222222222","31","14","8","46","47.422680412371","12","29.268292682927","58","42.028985507246","1307","25.806451612903","0","0","0","0","0","0","8","0","21","10","0","7","1","12","52.173913043478","12","0","0","15","158","9","20","10","568","16","12","0","0","14","0","9","1","0","1","0","0","0","0","14","0","0","0","0","0","0","18","0","0","23","27","18","80","29","0","0","0","23","14","8","53.333333333333","163.375","0","0","0","56","308","2","0","0","39","0","1462748","19","0","0","0","0","0","0"
"Jordan Larsson","578380","Superliga 23/24","Danish Superliga","FC København","6.7173913043478","154.5","23","3","1","7","0","0","3","203","45","248","81.854838709677","47","158","107","11","12","48","8","3","4","0","0","2","22.222222222222","30","12","13","32","43.835616438356","5","25","37","39.784946236559","921","10","0","0","0","0","1","0","3","0","21","9","0","3","0","6","50","7","0","0","11","113","4","6","3","418","12","12","2","0","7","3","5","0","0","0","0","0","0","0","12","1","0","0","0","0","0","8","0","0","11","25","9","56","15","0","0","0","12","13","5","62.5","307","0","0","0","56","201","0","0","0","38","0","1046084","23","0","0","0","0","0","0"
"Jordan Larsson","578380","UEFA Champions League 25/26","UEFA Champions League","FC København","6.7875","54.3","8","3","1","1","0","0.471939","3","113","32","145","77.931034482759","27","86","54","6","6","54.545454545455","1","1","0","0","0","0","0","14","7","2","10","37.037037037037","7","58.333333333333","17","43.589743589744","540","21.428571428571","2","1","0","0","0","0","3","0","6","8","0","3","0","2","33.333333333333","4","0","0","3","56","3","9","5","217","3","5","0","0","5","0","5","0","0","0","0","0","0","0","6","3","0","0","0","0","0","7","50","0","6","11","7","22","5","0","0","1","6","9","0","0","180","0","0","0","35","110","0","2.8675","0","20","0","2283295","8","66.36751","87","31.284","0","0","0"
"Jordan Larsson","578380","UEFA Champions League 23/24","UEFA Champions League","FC København","6.25","25","4","0","0","2","0","0.06538793","0","20","6","26","76.923076923077","3","17","11","0","0","0","0","1","0","0","0","0","0","4","3","1","0","0","4","57.142857142857","4","22.222222222222","108","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","16","0","0","0","43","0","5","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","3","0","14","3","0","0","1","0","1","0","0","0","0","0","0","4","22","0","1.0378","0","1","0","1091714","5","0","0","0","0","0","0"
"Thomas Delaney","66477","Superliga 25/26","Danish Superliga","FC København","6.825","109.2","16","0","2","1","2","1.60745179","2","448","100","548","81.751824817518","197","251","108","6","1","25","31","14","2","0","0","3","17.647058823529","8","2","2","40","57.142857142857","20","60.606060606061","60","58.252427184466","854","0","0","0","0","2","0","0","0","0","3","5","0","0","0","32","46.376811594203","22","0","0","7","135","3","45","18","712","8","19","0","0","3","1","4","0","0","0","0","0","0","0","14","2","0","0","0","0","0","12","0","0","6","4","17","43","13","0","0","0","69","16","19","61.290322580645","0","0","0","0","222","326","0","0.5322","0","40","3","2062704","16","0","0","0","0","0","0"
"Thomas Delaney","66477","Superliga 24/25","Danish Superliga","FC København","7.1708333333333","172.1","24","4","3","1","3","0","7","767","204","971","78.990731204943","336","435","174","11","2","28.571428571429","37","35","8","0","0","4","28.571428571429","23","10","8","69","51.111111111111","52","61.904761904762","121","55.251141552511","1652","17.391304347826","0","0","0","0","2","1","2","2","12","11","2","2","0","59","45.038167938931","58","1","0","7","250","9","102","48","1267","30","41","0","0","14","0","5","0","0","4","0","0","0","0","17","0","0","0","0","0","0","20","0","50","11","7","14","98","32","0","0","0","131","17","24","64.864864864865","413","0","0","0","392","593","4","0","0","77","0","1468406","24","0","0","0","0","0","0"
"Thomas Delaney","66477","UEFA Champions League 25/26","UEFA Champions League","FC København","6.35","25.4","4","0","0","0","0","0.05939753","0","50","25","75","66.666666666667","19","31","11","1","0","0","5","3","1","1","1","0","0","0","0","0","8","50","4","50","12","50","176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","40","4","0","0","0","30","1","7","4","109","3","6","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","1","1","2","12","4","0","0","0","15","1","2","40","0","0","0","0","26","49","0","0","0","7","2","2283305","4","23.5629","10","27.9","0","0","0"
"Thomas Delaney","66477","Pro League 23/24","Pro League","RSC Anderlecht","6.9260869565217","159.3","23","1","4","6","1","1.92045231","2","509","228","737","69.063772048847","229","287","161","13","1","14.285714285714","29","23","6","0","0","7","36.842105263158","24","7","13","47","44.761904761905","68","61.818181818182","115","53.488372093023","1485","4.1666666666667","0","0","1","1","0","0","1","0","18","6","0","0","1","41","37.614678899083","51","0","1","11","274","6","74","31","1003","20","29","0","0","17","1","4","0","0","1","0","0","0","0","10","4","0","0","0","0","0","17","0","0","13","7","19","100","42","0","0","0","109","14","23","79.310344827586","1485","0","0","0","306","450","0","3.4325","3","85","0","1097385","23","0","0","0","0","0","0"
"Robert","1500254","Superliga 25/26","Danish Superliga","FC København","6.7736842105263","128.7","19","4","4","3","1","2.84178473","5","244","55","299","81.605351170569","79","165","96","13","15","36.585365853659","19","7","2","0","0","5","18.518518518519","34","11","14","37","37.755102040816","4","30.769230769231","41","36.936936936937","1016","11.764705882353","0","0","0","0","0","0","2","2","18","16","0","0","4","7","58.333333333333","8","0","0","15","163","7","14","6","538","3","14","3","0","6","7","9","0","0","0","0","0","0","0","17","0","0","0","0","0","0","13","0","0","13","41","27","70","9","0","0","0","12","17","10","52.631578947368","254","0","0","0","85","214","2","3.0953","0","38","1","2088261","19","0","0","0","0","0","0"
